en	fr	es	el	it	ar	de	ja	hu	pt	hr
navbar_tools	Tools	Outils	Herramientas	Εργαλεία	Strumenti	الأدوات	Werkzeuge	ツール	Eszközök	Ferramentas	Alati
navbar_about	About	A propos	Sobre nosotros	Σχετικά με	Chi siamo	حول	Über uns	紹介	Névjegy	Sobre nós	O nama
navbar_tuto	Tutorial	Tutoriel	Guía	Οδηγός	Tutorial	الدورة التعليمية	Anleitung	チュートリアル	Oktatóanyag	Guia	Vodič
navbar_twitter_sna	Twitter SNA.	Twitter SNA.	Twitter SNA.	Twitter SNA.	Twitter SNA.	تحليل الشبكة الاجتماعية - تويتر	Netzwerkanalyse Twitter/X	TwitterのSNA	Twitter SNA.	Twitter SNA.	Twitter SNA.
navbar_sna	Social Network Analysis	Analyse des réseaux sociaux	Análisis de redes sociales	Ανάλυση κοινωνικών δικτύων	Analisi delle reti sociali	تحليل الشبكات الاجتماعية	Soziale Netzwerkanalyse	ソーシャルネットワーク分析	Társadalmi hálózatelemzés	Análise de Redes Sociais	Analiza društvenih mreža
navbar_classroom	Classroom	Salle de cours	Aula	ΣΧΟΛΙΚΗ ΑΙΘΟΥΣΑ	Aula	قاعة الدراسة	Klassenzimmer	教室	Osztályterem	Sala de aula	Učionica
navbar_quiz	Demo	Demo	Demo	Διαδήλωση	Demo	العرض التوضيحي	Demo	デモ	Bemutató	Demonstração	Demo
navbar_analysis	Video analysis	Analyse	Video análisis	Ανάλυση	Analisi video	تحليل الفيديو	Videoanalyse	動画解析	Videóelemzés	Análise de vídeo	Analiza videozapisa
navbar_keyframes	Keyframes	Images clés	Fotogramas clave	Χαρακτηριστικά καρέ	Fotogrammi chiave	إطارات المفاتيح	Keyframes	キーフレーム	Kulcskockák	Keyframes	Ključni kadrovi
navbar_thumbnails	Thumbnails	Imagettes	Miniaturas	Μικρογραφίες	Thumbnails	الصورة المصغرة	Thumbnails	サムネイル	Bélyegképek	Miniaturas	Minijature
navbar_twitter	X. search	Recherche X.	Búsqueda X.	Αναζήτηση στο X	X ricerca	بحث عبر تويتر	X. Suche	X.検索	X. keresés	Busca X.	X. pretraživanje
navbar_magnifier	Magnifier	Loupe	Lupa	Μεγεθυντικός φακός	Lente d'ingrandimento	المكبر	Lupe	拡大レンズ	Nagyító	Lupa	Povećalo
navbar_metadata_video	Metadata	Metadonnées	Metadatos	Μεταδεδομένα	Metadati	البيانات الوصفية	Metadaten	メタデータ	Metaadatok	Metadados	Metapodaci
navbar_metadata_image	Metadata	Metadonnées	Metadatos	Μεταδεδομένα	Metadati	البيانات الوصفية	Metadaten	メタデータ	Metaadatok	Metadados	Metapodaci
navbar_rights	Video rights	Droits vidéo	Derechos video	Δικαιώματα βίντεο	Copyright video	حقوق الفيديو	Videorechte	動画の権利	Videójogok	Direitos do vídeo	Prava na videozapis
navbar_forensic	Forensic	Forensic	Forensic	Αυθεντικότητας Εικόνων	Forensic	التحقق الرقمي	Forensische Untersuchung	フォレンジック解析	Forensic	Forensic	Forenzika
navbar_factCheck	Fact Check	Factuel	Factual	Έλεγχος γεγονότων	Fact-checking	تدقيق	Faktencheck	ファクトチェック	Tényellenőrzés	Factual	Provjera činjenica
navbar_covidsearch	Factcheck search	Recherche de Factchecks	Búsqueda de chequeos	Αναζήτηση Factcheck	Ricerca di factchecks	بحث التحقق من المعلومات	Faktenchecks-Suche	ファクトチェック検索	Tényellenőrzések keresése	Busca de checagens	Pretraživanje provjere činjenica
navbar_assistant	Assistant	Assistant	Asistente	Βοηθός	Assistente	المساعد	Assistent	アシスタント	Asszisztens	Assistente	Asistent
navbar_xnetwork	Xnetwork	Xnetwork	Xnetwork	Xnetwork	Xnetwork	Xnetwork	Xnetwork	Xネットワーク	Xnetwork	Xnetwork	Xnetwork
navbar_mgt	Machine Generated Text	Texte généré par IA	Texto generado por IA	Κείμενο που δημιουργήθηκε από τεχνητή νοημοσύνη	Testo generato dall’IA	نص تم إنشاؤه بواسطة الذكاء الاصطناعي	Text von KI generiert	AI生成テキスト	Mesterséges intelligencia által generált szöveg	Texto gerado por IA	Strojno generirani tekst
navbar_ocr	OCR	OCR	OCR	OCR	OCR	التعرف البصري على الحروف	Texterkennung	OCR	OCR	OCR	OCR
