en	fr	es	el	it	ar	de	ja	hu	pt	hr
quiz_unlock_message	Unlock the explanations in the settings	Déverrouillez les explications dans les paramètres	Desbloquee las explicaciones en la configuración	Ξεκλειδώστε τις εξηγήσεις στις ρυθμίσεις	Sblocca le spiegazioni nelle impostazioni	افتح التفسيرات في الإعدادات	Erklärungen in den Einstellungen freischalten	設定で説明をアンロック	A beállításokban található magyarázatok feloldása	Desbloquear as explicações nas Configurações	Otključajte objašnjenja u postavkama
quiz_title	Spot the fake !	Trouvez le faux !	¡Detectar la falsificación!	Εντοπίστε το ψεύτικο!	Trova il falso!	كشف التزوير	Erkennen Sie die Fälschung!	偽物を見つけましょう！	Találd meg a hamisat!	Detectar a falsificação!	Uočite lažno!
quiz_similarity	Similarity search	Recherche de similarités	Búsqueda de similaridades	Αναζήτηση ομοιότητας	Ricerca di similarità	البحث عن التشابه	Ähnlichkeitssuche	類似検索	Hasonlóság keresés	Busca de similaridades	Pretraživanje sličnosti
quiz_forensic	Forensic search	Recherche Forensic	Búsqueda Forensic	Aναζήτηση αυθεντικότητας εικόνων	Ricerca forensic	التحقق الرقمي	Forensische Suche	フォレンジック検索	Digitális elemzés	Busca Forense	Forenzičko pretraživanje
quiz_keyframes	Keyframes	Images clés	Fotogramas claves	Χαρακτηριστικά καρέ	Fotogrammi chiave	إطارات المفاتيح	Keyframes	キーフレーム	Kulcskockák	Keyframes	Ključni kadrovi
quiz_explanations	Explanations	Explicaciones	Explicaciones	Επεξηγήσεις	Spiegazioni	تفسيرات	Erklärungen	説明	Magyarázatok	Explicações	Objašnjenja
quiz_item_url_1	https://reveal-mklab.iti.gr/forensics/imgs/example0_big.jpg	https://reveal-mklab.iti.gr/forensics/imgs/example0_big.jpg	https://reveal-mklab.iti.gr/forensics/imgs/example0_big.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics/imgs/example0_big.jpg	https://reveal-mklab.iti.gr/forensics/imgs/example0_big.jpg	https://reveal-mklab.iti.gr/forensics/imgs/example0_big.jpg	https://reveal-mklab.iti.gr/forensics/imgs/example0_big.jpg	https://reveal-mklab.iti.gr/forensics/imgs/example0_big.jpg	https://reveal-mklab.iti.gr/forensics/imgs/example0_big.jpg	https://reveal-mklab.iti.gr/forensics/imgs/example0_big.jpg
quiz_item_title_1													
quiz_item_answer_1	This picture appeared on Twitter during the Catalonian referendum in Spain on the 1st of October 2017. The catalonian flag has been added to the image through tampering. This image can be verified through similarity search as a previous image without flag was indexed by the main reverse search engines. It can also be verified through forensic analysis as the added flag remains highly visible in the JPEG Ghost filter.	Cette photo a été postée sur Twitter durant le réferendum catalan du 1er octobre 2017, en Espagne. Le drapeau catalan a été ajouté à une image pré-existante que l'on peut retrouver grâce à une recherche par similarité d'image. La manipulation apparaît également lors de l'analyse forensic à travers le filtre détectant les fantômes JPEG, c'est-à-dire des traces restant visibles à divers niveaux de compression.	Esta foto fue publicada en Twitter con la bandera catalana añadida, el día del referendo catalan del 1 de Octubre 2017, en España. Se puede poner en evidencia la manipulación de esta foto con una búsqueda inversa de imagenes y con el filtro JPEG Ghost en el análisis forensic.	Η εικόνα δείχνει τον ΄Ελληνα υπουργό οικονομικών Ευκλείδη Τσακαλώτο να μιλάει μπροστά στον πίνακα 'Η Κραυγή' του νορβηγού ζωγράφου Edvard Munch. Στην πραγματικότητα, αυτή η εικόνα είναι μια παρωδία: Ο Τσακαλώτος είχε γίνει αντικείμενο υποτιμητικών σχολίων λόγω ομιλίας του μπροστά από πίνακα γυμνής γυναίκας του Modigliani. Δοκιμάστε το αναδυόμενο μενού πάνω στην εικόνα για να δείτε τα αποτελέσματα με αρκετές μηχανές αντίστροφης οπτικής αναζήτησης. Η αρχική εικόνα είναι διαθέσιμη εδώ:	Questa immagine è apparsa su Twitter durante il referendum della Catalogna in Spagna il 1 ° ottobre 2017. La bandiera catalana è stata aggiunta all'immagine attraverso la manomissione. Questa immagine può essere verificata attraverso la ricerca di similarità come un'immagine precedente senza bandiera è stata indicizzata dai principali motori di ricerca inversa. Può anche essere verificata tramite analisi forense poiché la bandiera aggiunta rimane altamente visibile nel filtro JPEG Ghost.	هذه الصورة ظهرت على تويتر خلال الاستفتاء الكتالوني في إسبانيا في 1 أكتوبر 2017. أضيفت العلم الكتالوني إلى الصورة عبر التلاعب. يمكن التحقق من هذه الصورة من خلال البحث عن التشابه حيث تم فهرسة صورة سابقة بدون علم بواسطة محركات البحث العكسي الرئيسية. يمكن أيضًا التحقق منها من خلال التحليل الجنائي حيث يظل العلم المضاف مرئيًا بوضوح في مرشح JPEG Ghost.	Dieses Bild erschien auf Twitter während des katalanischen Referendums in Spanien am 1. Oktober 2017. Die katalanische Flagge wurde dem Bild durch Manipulation hinzugefügt. Dieses Bild kann durch Ähnlichkeitssuche überprüft werden, da ein früheres Bild ohne Flagge von den wichtigsten Rückwärtssuchmaschinen indexiert wurde. Es kann auch durch forensische Analyse überprüft werden, da die hinzugefügte Flagge im JPEG Ghost-Filter deutlich sichtbar bleibt.	この画像は、2017年10月1日にスペインで行われたカタルーニャ住民投票中にTwitterに掲載されました。操作によってカタルーニャの旗が画像に追加されています。この画像は、主要な画像検索エンジンで旗のない以前の画像がインデックス化されているため、類似性検索で検証できます。また、JPEG Ghostフィルターで追加された旗がはっきりと見えるため、フォレンジック分析でも検証できます。	Ez a kép a katalán népszavazás során jelent meg a Twitteren Spanyolországban, 2017. október 1-jén. A katalán zászlót manipulációval adták hozzá a képhez. Ez a kép hasonlóságkereséssel ellenőrizhető, mivel a zászló nélküli korábbi képet a fő fordított képkereső motorok indexelték. A hozzáadott zászló a JPEG Ghost szűrőben is jól látható marad, így forenzikus analízissel is ellenőrizhető.	Esta imagem apareceu no Twitter durante o referendo catalão na Espanha em 1º de outubro de 2017. A bandeira catalã foi adicionada à imagem por meio de adulteração. Esta imagem pode ser verificada por meio de busca por similaridade, pois uma imagem anterior sem a bandeira foi indexada pelos principais mecanismos de busca reversa. Também pode ser verificada por meio de análise forense, pois a bandeira adicionada permanece altamente visível no filtro JPEG Ghost.	Ova se slika pojavila na Twitteru tijekom katalonskog referenduma u Španjolskoj 1. listopada 2017. Katalonska zastava dodana je slici manipulacijom. Ova se slika može provjeriti pretraživanjem sličnosti jer je prethodna slika bez zastave indeksirana glavnim tražilicama za obrnutu pretragu. Također se može provjeriti forenzičkom analizom jer dodana zastava ostaje vrlo vidljiva u filtru JPEG Ghost.
quiz_item_answer_1_url	https://english.elpais.com/elpais/2017/10/02/inenglish/1506943013_999238.html#TweetAuthor-avatar%20Identity-avatar%20u-linkBlend	https://www.lemonde.fr/les-decodeurs/article/2017/10/02/violences-policieres-en-catalogne-attention-aux-images-trompeuses_5194905_4355770.html#article__fact%20article__fact--false	https://elpais.com/politica/2017/10/01/actualidad/1506885911_363023.html#sumario_2	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/	https://english.elpais.com/elpais/2017/10/02/inenglish/1506943013_999238.html#tweetauthor-avatar٪20identity-avatar٪20u-linkblend	https://english.elpais.com/elpais/2017/10/02/inenglish/1506943013_999238.html#tweetauthor-avatar٪20identity-avatar٪20u-linkblend	https://english.elpais.com/elpais/2017/10/02/inenglish/1506943013_999238.html#tweetauthor-avatar٪20identity-avatar٪20u-linkBlend	https://english.elpais.com/elpais/2017/10/02/inenglish/1506943013_999238.html#TweetAuthor-avatar%20Identity-avatar%20u-linkBlend	https://english.elpais.com/elpais/2017/10/02/inenglish/1506943013_999238.html#TweetAuthor-avatar%20Identity-avatar%20u-linkBlend	https://elpais.com/politica/2017/10/01/actualidad/1506885911_363023.html#sumario_2	https://english.elpais.com/elpais/2017/10/02/inenglish/1506943013_999238.html#TweetAuthor-avatar%20Identity-avatar%20u-linkBlend
