	en	fr	es	el	it	ar	de
warning_sna	This feature is computer-intensive and is reserved for journalists fact-checkers and researchers. See on the Tools' page top right to get more info.	Cette fonctionnalité est très gourmande en ressources informatiques. Elle est réservée aux journalistes fact-checkers et chercheurs. Cliquez sur ? en haut à droite pour plus d'infos.	Esta herramienta necesita muchos recursos informáticos. Por esto se reserva para periodistas fact-checkers e investigadores. Para más información vea las herramientas avanzadas en la página Herramientas (en la parte superior derecha) para registrarse.	Αυτή η δυνατότητα είναι έντασης υπολογιστή. Επομένως προορίζεται για δημοσιογράφους ελεγκτές γεγονότων και ερευνητές. Για περισσότερες πληροφορίες κάντε κλικ ?	Questa funzione è ad alta intensità di computer ed è riservata a giornalisti, controlli di fatti e ricercatori. Vedi nella pagina degli strumenti in alto a destra per ottenere maggiori informazioni.	هذه الميزة تعتمد على استخدام الكمبيوتر بشكل مكثف ومخصصة للصحفيين ومدققي المعلومات والباحثين. انظر في أعلى صفحة الأدوات على اليمين للحصول على مزيد من المعلومات.	Diese Funktion ist computerintensiv und Journalistinnen und Forschende vorbehalten. Weitere Informationen finden Sie auf der Seite der Tools -Seite oben rechts.
error	An error occurred while processing your query	Une erreur s'est produite lors du traitement de votre requête	Ha habido un error al procesar su solicitud.	Παρουσιάστηκε σφάλμα κατά την επεξεργασία του αιτήματός σας	C'è stato un errore durante l'elaborazione dell'applicazione	حدث خطأ أثناء معالجة الاستعلام الخاص بك	Bei der Verarbeitung Ihrer Abfrage trat ein Fehler auf
error_invalid_url	Error: not a valid url	Erreur: URL non valide	Error: no es una URL válida	Σφάλμα: δεν είναι ένα έγκυρο URL	Errore: URL non valido	خطأ: ليس عنوان URL صالحًا	Fehler: keine gültige URL
warning_forensic	This enhanced forensic toolkit aims to help you detect alterations in manipulated images. You should avoid using it with screenshots scanned images of documents or juxtaposed images that are in fact altered images. More filters are highlighting the same zone more suspicious is that particular area of the image. Please take into account that forensic filters are outlining any digital signal alteration and not only semantically manipulated artefacts (which means false positives are possible). Some complex textures or excess of luminance may also alter the signal without any manipulation intention. Whenever possible use systematically the best image resolution available (even by searching through similarity for higher resolution identical images).	Cette boîte à outils forensic améliorée vise à vous aider à détecter des manipulations dans les images. Vous devriez éviter de l'utiliser avec des captures d'écran des images scannées de documents ou des images juxtaposées qui de facto sont déjà des images manipulées. Plus de filtres mettent en évidence une même zone commune plus suspecte est cette région particulière de l'image. Veuillez prendre en compte que les filtres forensic mettent en évidence tout type de modifications du signal numérique de l'image et pas seulement des manipulations altérant le sens de l'image (ce qui veut dire qu'il peut y avoir des faux positifs). Certaines textures complexes ou excès de luminance peuvent également modifier le signal sans intention de manipulation. Si possible utilisez systématiquement la meilleure résolution d'image disponible au besoin en faisant une recherche inversée d'image.	Esta caja de herramientas forense mejorada tiene como objetivo ayudarle a detectar manipulaciones en las imágenes. Debe evitar usarlo con capturas de pantalla copias escaneadas de documentos o imágenes yuxtapuestas que de facto ya son imágenes alteradas. Más filtros resaltan la misma área más sospechosa es este área particular de la imagen. Tenga en cuenta que los filtros forenses resaltan cualquier tipo de alteraciones del señal de la imagen digital y no solo las manipulaciones intencionales que alteran el significado de la imagen. Algunas texturas complejas o luminancias excesivas también pueden cambiar la señal sin que haya intención de manipular el mensaje de la imagen. Cada vez que sea posible utilice la mejor resolución de imagen disponible si necesario utilizando la búsqueda inversa.	Αυτή η ενισχυμένη εργαλειοθήκη εγκληματολογικών ερευνών έχει ως στόχο να σας βοηθήσει να εντοπίσετε αλλοιώσεις σε επεξεργασμένες εικόνες. Θα πρέπει να αποφεύγετε να το χρησιμοποιείτε με στιγμιότυπα οθόνης σαρωμένες εικόνες εγγράφων ή παρατιθέμενες εικόνες που είναι στην πραγματικότητα τροποποιημένες εικόνες. Όσο περισσότερα φίλτρα τονίζουν την ίδια ζώνη τόσο πιο ύποπτη είναι η συγκεκριμένη ζώνη της εικόνας. Λάβετε υπόψη ότι τα εγκληματολογικά φίλτρα σκιαγραφούν οποιαδήποτε αλλοίωση ψηφιακού σήματος και όχι μόνο σημασιολογικά επεξεργασμένα τεχνουργήματα (πράγμα που σημαίνει ότι είναι πιθανόν να προκύψουν ψευδώς θετικά αποτελέσματα). Ορισμένες πολύπλοκες υφές ή υπερβολική φωτεινότητα μπορεί επίσης να αλλοιώσουν το σήμα χωρίς πρόθεση χειραγώγησης. Όποτε είναι δυνατόν χρησιμοποιήστε συστηματικά την καλύτερη διαθέσιμη ανάλυση εικόνας (ακόμη και με αναζήτηση μέσω της ομοιότητας για πανομοιότυπες εικόνες υψηλότερης ανάλυσης).	Questo kit di strumenti forensi avanzati è pensato per aiutarti a rilevare alterazioni in immagini manipolate. Si raccomanda di evitare di utilizzarlo con screenshot, scansioni di documenti o immagini accostate che in realtà sono immagini alterate. Più filtri evidenziano la stessa zona, più sospetta è quella particolare area dell'immagine. Tieni presente che i filtri forensi evidenziano qualsiasi alterazione del segnale digitale e non solo gli artefatti manipolati a livello semantico (ciò significa che sono possibili falsi positivi). Anche alcune texture complesse o un eccesso di luminosità possono alterare il segnale senza alcuna intenzione di manipolazione. Quando possibile, utilizza sempre la migliore risoluzione di immagine disponibile (anche cercando attraverso la similarità immagini identiche ad alta risoluzione).	تهدف مجموعة أدوات التحقق الرقمي المحسّنة هذه إلى مساعدتك في اكتشاف التعديلات في الصور التي تم التلاعب بها. يجب تجنب استخدامه مع لقطات الشاشة، الصور الممسوحة ضوئياً للمستندات أو الصور المتجاورة التي هي في الواقع صور معدلة. المزيد من الفلاتر تسلط الضوء على نفس المنطقة أكثر إثارة للشكوك هي تلك المنطقة المعينة من الصورة. يرجى الأخذ في الاعتبار أن فلاتر الطب الشرعي تحدد أي تغيير للإشارة الرقمية وليس فقط المصنوعات التي تم التلاعب بها لغوياً (مما يعني إمكانية وجود نتائج إيجابية خاطئة). قد تؤدي بعض التركيبات المعقدة أو زيادة الإضاءة أيضاً إلى تغيير الإشارة دون أي نية تلاعب. كلما أمكن، استخدم بشكل منهجي أفضل دقة صورة متاحة (حتى من خلال البحث من خلال التشابه للحصول على صور متطابقة ذات دقة أعلى).	Dieses erweiterte forensische Toolkit soll Ihnen helfen, Auffälligkeiten in manipulierten Bildern zu erkennen. Vermeiden Sie es, es mit Screenshots von gescannten Bildern von Dokumenten oder zusammengesetzte Bilder zu verwenden, die tatsächlich veränderte Bilder sind. Weitere Filter zeigen den im Bild auffälligen Bereich. Bitte berücksichtigen Sie, dass forensische Filter jede Änderung signalisieren und nicht nur manipulierte Artefakte (was bedeutet, dass falsch-positive Ergebnisse möglich sind). Einige komplexe Texturen oder Überschüsse an Luminanz können auch ohne Manipulationsabsicht auffällig sein. Wenn möglich, verwenden Sie systematisch die beste verfügbare Bildauflösung (auch indem Sie die Ähnlichkeit nach identischen Bildern mit höherer Auflösung durchsuchen).
warning_advanced_tools	This tool is reserved for journalists fact checkers and researchers; you need to unlock the advanced tools in the upper right corner of the Tools page to apply and use it.	Cet outil est réservé pour les journalistes, fact checkers et chercheurs. Vous devez déverrouiller les outils avancés en haut à droite de la page Outils pour vous enregistrer et pouvoir l'utiliser	Esta herramienta está reservada para periodistas fact checkers y investigadores; debe desbloquear las herramientas avanzadas en la página Herramientas (en la parte superior derecha) para registrarse y poder usarlas.	ελεγκτές γεγονότων και ερευνητές- πρέπει να ξεκλειδώσετε τα προηγμένα εργαλεία στην επάνω δεξιά γωνία της σελίδας Εργαλεία για να το εφαρμόσετε και να το χρησιμοποιήσετε.	Questo strumento è riservato a giornalisti, checker di fatti e ricercatori; È necessario sbloccare gli strumenti avanzati nell'angolo in alto a destra della pagina Strumenti per applicarlo e utilizzarlo.	هذه الأداة مخصصة للصحفيين ومدققي المعلومات والباحثين. تحتاج إلى إلغاء قفل الأدوات المتقدمة في الزاوية اليمنى العليا من صفحة الأدوات لتطبيقها واستخدامها.	Diese Tools sind JournalistInnen, FaktencheckerInnen und ForscherInnen vorbehalten. Sie müssen die erweiterten Tools in der oberen rechten Ecke der Seite entsperren, um sie verwenden zu können.
warning_beta	Warning: this is an experimental tool under development. It has been improved recently within veraai.eu project but may still have bugs or errors. Use with caution. In case of doubt, try to use other third-party tools to confirm any result.	Attention : ceci est un outil expérimental en cours de développement. Il a été récemment amélioré dans le cadre du projet veraai.eu, mais il peut encore contenir des bogues ou des erreurs. À utiliser avec prudence. En cas de doute, essayez d'utiliser d'autres outils tiers pour confirmer tout résultat.	Advertencia: esta es una herramienta experimental en desarrollo. Se ha mejorado recientemente dentro del proyecto veraai.eu, pero aún puede tener errores o fallos. Úselo con precaución. En caso de duda, intente utilizar otras herramientas de terceros para confirmar cualquier resultado.	Προσοχή: αυτό είναι ένα πειραματικό εργαλείο υπό ανάπτυξη. Έχει βελτιωθεί πρόσφατα στο πλαίσιο του έργου veraai.eu, αλλά μπορεί ακόμα να περιέχει σφάλματα ή λάθη. Χρησιμοποιήστε το με προσοχή. Σε περίπτωση αμφιβολίας, προσπαθήστε να χρησιμοποιήσετε άλλα εργαλεία τρίτων για να επιβεβαιώσετε οποιοδήποτε αποτέλεσμα.	Attenzione: questo è uno strumento sperimentale in fase di sviluppo. È stato recentemente migliorato all'interno del progetto veraai.eu, ma potrebbe ancora contenere bug o errori. Utilizzare con cautela. In caso di dubbio, provare a utilizzare altri strumenti di terze parti per confermare qualsiasi risultato.	تحذير: هذه أداة تجريبية قيد التطوير. لقد تم تحسينه مؤخرًا ضمن مشروع veraai.eu ، ولكن لا يزال من الممكن أن يحتوي على أخطاء أو ثغرات. استخدمه بحذر. في حالة الشك ، حاول استخدام أدوات خارجية أخرى لتأكيد أي نتيجة 	Warnung: Dies ist ein experimentelles Tool in der Entwicklung. Achtung: Dies ist ein experimentelles Tool in der Entwicklung. Es wurde kürzlich im Rahmen des Projekts veraai.eu verbessert, kann aber immer noch Fehler oder Bugs enthalten. Mit Vorsicht verwenden. Im Zweifelsfall versuchen Sie, andere Tools von Drittanbietern zu verwenden, um jedes Ergebnis zu bestätigen.
warning_beta_synthetic_image_detection	This is a beta version tool aiming to detect synthetic images generated through Dall-E, Midjourney or other kind of Diffusion models. A probability equal or above 70% is considered a detection.	C'est un outil en version bêta pour détecter des images synthétiques générées par Dall-E, Midjourney ou d'autres modèles de Diffusion. Une probabilité égale ou supérieure à 70% est considérée comme une détection.	Se trata de una herramienta en versión beta para detectar imágenes sintéticas generadas por Dall-E, Midjourney y otros modelos de Difusión. Una probabilidad igual o superior al 70% se considera una detección.	Αυτό είναι ένα εργαλείο έκδοσης beta που στοχεύει στον εντοπισμό συνθετικών εικόνων που δημιουργούνται μέσω Dall-E, Midjourney ή άλλου είδους μοντέλων Diffusion. Πιθανότητα ίση ή μεγαλύτερη από 70% θεωρείται ανίχνευση.	Si tratta di uno strumento in versione beta che mira a rilevare immagini sintetiche generate tramite Dall-E, Midjourney o altri tipi di modelli di diffusione. Una probabilità uguale o superiore al 70% è considerata una rilevazione.	يعتبر الاحتمال الذي يساوي أو يزيد عن 70٪ اكتشافًاهذه أداة إصدار تجريبي تهدف إلى اكتشاف الصور الاصطناعية التي تم إنشاؤها من خلال Dall-E أو Midjourney أو أي نوع آخر من نماذج Diffusion.	Hierbei handelt es sich um eine Beta-Version, das darauf abzielt, synthetische Bilder zu erkennen, die durch Dall-E, Midjourney oder andere Arten von Diffusionsmodellen generiert wurden. Eine Wahrscheinlichkeit von 70% oder höher gilt als Erkennung.
warning_beta_loccus	This is a beta version tool aiming to detect voice cloning in audio files. Do no hesitate to test it with smaller fragments if you believe that the track has been edited to insert parts of voice cloning in it. It only works with Al-generated text-to-speech. No human imitation or real voice post-edition can be detected with this feature.	Ceci est un outil en version bêta visant à détecter le clonage vocal dans les fichiers audio. N'hésitez pas à le tester avec des fragments plus petits si vous pensez que la piste a été modifiée pour y insérer des parties de clonage vocal. Cela ne fonctionne qu'avec la conversion de texte en parole générée par l'IA. Aucune imitation humaine ou post-édition vocale réelle ne peut être détectée avec cette fonctionnalité.	Esta es una herramienta de versión beta que tiene como objetivo detectar la clonación de voz en archivos de audio. No dude en probarlo con fragmentos más pequeños si cree que la pista ha sido editada para insertar partes de clonación de voz. Solo funciona con la conversión de texto a voz generada por IA. No se puede detectar ninguna imitación humana o post-edición de voz real con esta función.	Αυτό είναι ένα εργαλείο έκδοσης beta που στοχεύει στην ανίχνευση της κλωνοποίησης φωνής σε αρχεία ήχου. Μη διστάσετε να το δοκιμάσετε με μικρότερα αποσπάσματα εάν πιστεύετε ότι το κομμάτι έχει υποστεί επεξεργασία για να εισαχθούν τμήματα κλωνοποίησης φωνής σε αυτό. Λειτουργεί μόνο με ομιλία που δημιουργείται από τεχνητή νοημοσύνη. Δεν μπορεί να ανιχνευθεί κανένας ανθρώπινος μιμητισμός ή πραγματική μετα-επεξεργασία φωνής με αυτήν τη λειτουργία. 	Questo è uno strumento in versione beta che mira a rilevare la clonazione vocale nei file audio.Non esitare a testarlo con frammenti più piccoli se ritieni che la traccia sia stata modificata per inserire parti di clonazione vocale. Funziona solo con la conversione di testo in voce generata dall'IA. Nessuna imitazione umana o post-edizione vocale reale può essere rilevata con questa funzione. 	 لا تتردد في اختباره مع أجزاء أصغر إذا كنت تعتقد أن المسار قد تم تحريره لإدخال أجزاء من استنساخ الصوت فيه. يعمل فقط مع تحويل النص إلى كلام الذي تم إنشاؤه بواسطة الذكاء الاصطناعي. لا يمكن اكتشاف أي تقليد بشري أو تعديل لاحق للصوت الحقيقي باستخدام هذه الميزة.هذه نسخة تجريبية من الأداة تهدف إلى اكتشاف استنساخ الصوت في ملفات الصوت.	Dies ist eine Beta-Version, die darauf abzielt, das Klonen von Stimmen in Audio-Dateien zu erkennen. Zögern Sie nicht, es mit kleineren Fragmenten zu testen, wenn Sie glauben, dass die Spur bearbeitet wurde, um Teile der Stimmenklonung einzufügen. Es funktioniert nur mit KI-generierter Text-to-Speech-Ausgabe. Mit dieser Funktion können keine menschlichen Nachahmungen oder echte Nachbearbeitungen der Stimme erkannt werden.
warning_file_too_big	The file is too large	Le fichier est trop volumineux	El archivo es demasiado grande	Το αρχείο είναι πολύ μεγάλο	Il file è troppo grande	الملف كبير جدًا	Die Datei ist zu groß
warning_file_too_small	The file is too small	Le fichier est trop petit	El archivo es demasiado pequeño	Το αρχείο είναι πολύ μικρό	Il file è troppo piccolo	الملف صغير جداً	Die Datei ist zu klein
